,id,name,all_time_quantity_sold,price,store_id,discount,discount_rate,images,inventory_status,list_price,original_price,rating_average,review_count
73,92859698,Tâm Lý Học Biểu Cảm,7869,70500,40395,27500,28,https://salt.tikicdn.com/ts/product/41/d6/6b/854b921bdf0ee7598613202a6a26ac81.jpg,1,98000,98000,5.0,1491
74,10005245,Đàn Ông Sao Hỏa Đàn Bà Sao Kim,52097,127000,40395,61000,32,https://salt.tikicdn.com/ts/product/29/43/01/bd04f0946bed192d8cf7875167b0e3bd.jpg,1,188000,188000,4.8,4140
75,15245928,Băng keo 2 mặt chịu nhiệt dán linh kiện điện tử 3M khổ 10mm x 50m 9448A-10,35,135000,8537,0,0,https://salt.tikicdn.com/ts/product/9a/8e/b2/e122f3b2087946c78229f1f4f2043f42.jpg,1,135000,135000,4.8,6
76,193099631,Đại Gia Gatsby,775,64400,40395,21600,25,https://salt.tikicdn.com/ts/product/1b/65/bd/5236fe1e51dd63aae463471ab1c86816.jpg,1,86000,86000,5.0,79
77,274163327,Bộ Thẻ Rèn Trí Sáng Suốt mới (Nâng cấp thay thế cho bộ Thẻ Chánh Kiến) - Sản phẩm tâm huyết thầy Trần Việt Quân,1,245000,338765,55000,18,https://salt.tikicdn.com/ts/product/90/76/1f/11e1f430a0d9c199c714a8deab54c49a.jpg,1,300000,300000,0.0,0
78,7718737,Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),11353,88300,40395,29700,25,https://salt.tikicdn.com/ts/product/ea/26/6a/a3ddb60453d65d3d7dd6e564e519299f.jpg,1,118000,118000,4.8,1012
79,271319877,Bấm Huyệt Bàn Chân - Tái Bản,37,61300,40395,28700,32,https://salt.tikicdn.com/ts/product/73/19/56/c9438eba33bb7ae2ef3aff8558541c6b.jpg,1,90000,90000,1.0,1
80,8885995,Sự Im Lặng Của Bầy Cừu (Tái Bản),17810,78200,40395,36800,32,https://salt.tikicdn.com/ts/product/d9/90/dd/6b11e001c263aed8f07964450e45e199.png,1,115000,115000,4.8,2702
81,184466860,Hành Tinh Của Một Kẻ Nghĩ Nhiều,16804,56000,40395,30000,35,https://salt.tikicdn.com/ts/product/90/43/a4/4c900bba6e328fb83d39330b27ea293a.jpg,1,86000,86000,4.8,1752
82,52788072,Chiến Binh Cầu Vồng (Tái Bản 2020),21351,65400,40395,43600,40,https://salt.tikicdn.com/ts/product/59/ec/4f/b15b0f67dbc388e74de5759201f9f725.png,1,109000,109000,4.8,3379
83,161008717,Kiếp Nào Ta Cũng Tìm Thấy Nhau: Câu Chuyện Về Những Linh Hồn Tri Kỷ Vĩnh Viễn Không Chia Lìa (Tái Bản),6431,67200,40395,31800,32,https://salt.tikicdn.com/ts/product/96/cc/2d/a53a2beff5944a6326ae28ad25b802b5.png,1,99000,99000,5.0,716
84,114937969,Rừng Nauy (Tái Bản),6325,90000,40395,60000,40,https://salt.tikicdn.com/ts/product/e1/7e/b2/3ecb80342561823c9052b8ce88a2aa5c.png,1,150000,150000,5.0,1074
85,78598381,Tâm Lý Học Tính Cách (Tặng Kèm: 1 Bookmark),6979,74100,40395,34900,32,https://salt.tikicdn.com/ts/product/a3/28/20/afb06be5525494d91e672bd4db6f4767.jpg,1,109000,109000,5.0,1370
86,161310103,Từ Vựng IELTS 8.0 - Từ Vựng Đắt Để Đạt Điểm Cao 4 Kỹ Năng,3844,91700,40395,43300,32,https://salt.tikicdn.com/media/catalog/producttmp/7a/4c/89/a28e0136d183b09c71ed6a33f8b223ba.jpg,1,135000,135000,5.0,505
87,15267827,Hoàng Tử Bé (Tái Bản 2019),25476,52400,40395,22600,30,https://salt.tikicdn.com/ts/product/22/e9/24/252e578ddec1722c75266107d3955223.jpg,1,75000,75000,5.0,3431
88,196932307,Here U Are – Tập 3,1181,90000,40395,29000,24,https://salt.tikicdn.com/ts/product/00/d3/8d/ea03d5c7f9a408870cad270b0d962cf0.JPG,1,119000,119000,4.8,291
89,104612965,FLASHCARD SachID Moon,6815,10000,162100,0,0,https://salt.tikicdn.com/ts/product/7e/7b/3f/d8227246e7128960add5d774b5e2e80b.jpg,1,10000,10000,4.8,84
90,49747007,Hai Mặt Của Gia Đình,12760,60759,40395,37241,38,https://salt.tikicdn.com/ts/product/ac/9c/7e/ac3dd0ab31d76594f69161814616fc8d.jpg,1,98000,98000,4.8,1877
91,54266567,Sách Nghĩ Giàu Và Làm Giàu (Bìa Mềm),13348,73300,40395,36700,33,https://salt.tikicdn.com/ts/product/62/b7/62/3b3a507acef199e5149f32610ad1e8d3.png,1,110000,110000,5.0,1781
92,76388962,"Chúng Ta Rồi Sẽ Hạnh Phúc, Theo Những Cách Khác Nhau [Tặng Kèm: 01 Bookmark]",9891,55900,40395,30100,35,https://salt.tikicdn.com/ts/product/66/d0/fa/dd2b50470b5b116b5ccdf4a0efdcbd01.jpg,1,86000,86000,4.8,1838
93,187338036,Chiến Tranh Tiền Tệ - Tập 4,1980,117000,40395,68000,37,https://salt.tikicdn.com/ts/product/09/1f/4d/937d1d1b96ba5e27d44b5fb88f91f2b7.jpg,1,185000,185000,5.0,245
94,53720978,"Trong Cái Không Có Gì Không ? (Thiền Sư Thích Nhất Hạnh Trả Lời Cho Trẻ Em Những Thắc Mắc Về Ý Nghĩa Cuộc Sống, Về Cái Chết, Về Gia Đình, Bạn Bè Và Nhiều Câu Hỏi Khác)",4352,125000,40395,35000,22,https://salt.tikicdn.com/ts/product/47/d1/6b/45e2d3d4f4ce573116f5e88279e12ed9.png,1,160000,160000,5.0,465
95,168373800,Sách - Thao túng tâm lý - 1980BOOKS,1395,105000,172070,64000,38,https://salt.tikicdn.com/ts/product/f0/a3/77/d1e9f0745ee17a54f5c47cc279bb35e8.jpg,1,169000,169000,4.7,150
96,57325187,Sách Người Giàu Có Nhất Thành Babylon (Tái Bản 2020),16882,64200,40395,33800,34,https://salt.tikicdn.com/media/catalog/producttmp/5d/ac/3b/ae527a4e3abf97b9f58f1a788b1b32f0.jpg,1,98000,98000,5.0,2466
97,171556602,2030: Những Xu Hướng Lớn Sẽ Định Hình Thế Giới Tương Lai (Tái Bản Lần 1),2412,166000,40395,43000,21,https://salt.tikicdn.com/ts/product/90/10/26/6dbaa5ba3e5cfaba960c89788f90b6f6.png,1,209000,209000,5.0,225
98,195801686,Black Jack - Tập 13 (Bìa Mềm),1002,28600,40395,1400,5,https://salt.tikicdn.com/ts/product/50/28/1a/950e5ca1065b896a547f067d23089620.jpg,1,30000,30000,5.0,121
99,77774625,"Nghệ Thuật Tập Trung - Nâng Cao Năng Suất, Tối Ưu Thời Gian, Hiệu Quả Bất Ngờ",10365,69200,40395,29800,30,https://salt.tikicdn.com/ts/product/92/b3/a8/d3d67f85bef49aacd6cd886eb2df7f7e.jpg,1,99000,99000,4.8,1751
100,75307228,Sách OSHO Yêu - Being In Love - Yêu Trong Tỉnh Thức,891173,110100,40395,57900,34,https://salt.tikicdn.com/ts/product/0e/c1/12/34674efdedcbb3029f58e58724822afb.jpg,1,168000,168000,5.0,2077
101,197344441,Như Cơn Gió Thoảng - Nghĩ Về Những Qui Luật Cuộc Sống,208,113000,40395,2000,2,https://salt.tikicdn.com/ts/product/24/62/d7/f55d7760c9a26bd3d317d2e856039b57.jpg,1,115000,115000,5.0,28
